id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,trump_value,harris_value,name,slug,polling_start_date,polling_end_date
148804,poll_rcp_avg,The Hill/Emerson,10/24 - 10/29,900 LV,3.2,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,Trump,2.0,50,48,2024 Arizona: Trump vs. Harris,arizona,2024-10-24,2024-10-29
148692,poll_rcp_avg,NY Times/Siena,10/25 - 11/2,1025 LV,0.0,https://www.nytimes.com/interactive/2024/11/03/us/elections/times-siena-arizona-poll-crosstabs.html,Trump,4.0,49,45,2024 Arizona: Trump vs. Harris,arizona,2024-10-25,2024-11-02
148757,poll_rcp_avg,InsiderAdvantage,11/1 - 11/2,800 LV,3.0,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,Trump,3.0,49,46,2024 Arizona: Trump vs. Harris,arizona,2024-11-01,2024-11-02
148669,poll_rcp_avg,Atlas Intel,11/1 - 11/2,967 LV,3.0,https://www.realclearpolitics.com/docs/2024/Atlas-Poll-US-Swing-States-Georgia-02-11-2024.pdf,Trump,6.0,52,46,2024 Arizona: Trump vs. Harris,arizona,2024-11-01,2024-11-02
148583,poll_rcp_avg,Noble Predictive Insights,10/28 - 10/30,775 LV,3.5,https://www.noblepredictiveinsights.com/post/az-poll-of-record-trump-1-gallego-4,Trump,1.0,48,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-28,2024-10-30
148546,poll,Atlas Intel,10/30 - 10/31,1005 LV,3.0,https://www.realclearpolitics.com/docs/2024/Atlas-Poll-US-Swing-States-31-10-2024-Arizona.pdf,Trump,4.0,51,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-30,2024-10-31
148654,poll,Mitchell Research,10/28 - 10/29,610 LV,4.0,https://www.realclearpolitics.com/docs/2024/AZ_MITCHELL_POLL_OF_ARIZONA_11-1-24_Press_Release.pdf,Trump,2.0,50,48,2024 Arizona: Trump vs. Harris,arizona,2024-10-28,2024-10-29
148636,poll,Data for Progress (D)**,10/25 - 10/30,1079 LV,3.0,https://www.dataforprogress.org/blog/2024/11/1/final-data-for-progress-swing-state-polls,Trump,1.0,48,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-25,2024-10-30
148413,poll,Atlas Intel,10/25 - 10/29,1458 LV,3.0,https://cdn.atlasintel.org/12bd169b-6db5-44be-9429-90f44ba0d845.pdf?_gl=1*ui466n*_ga*MTgxNDIzMTA3LjE3MzAyMjkxMjI.*_ga_W78QD5CNP1*MTczMDIyOTEyMi4xLjEuMTczMDIyOTkwMC4wLjAuMA,Trump,4.0,51,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-25,2024-10-29
148531,poll_rcp_avg,Rasmussen Reports,10/25 - 10/29,803 LV,3.0,https://www.rasmussenreports.com/public_content/politics/partner_surveys/election_2024_trump_leads_in_georgia_arizona_harris_5_in_new_mexico,Trump,2.0,48,46,2024 Arizona: Trump vs. Harris,arizona,2024-10-25,2024-10-29
