id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,democrats_value,republicans_value,name,slug,polling_start_date,polling_end_date
147268,poll_rcp_avg,Economist/YouGov,9/15 - 9/17,1445 RV,3.2,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,Democrats,4.0,47,43,2024 Generic Congressional Vote,congress_generic,2024-09-15,2024-09-17
147247,poll_rcp_avg,Monmouth,9/11 - 9/15,803 RV,0.0,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_091724/,Democrats,1.0,48,47,2024 Generic Congressional Vote,congress_generic,2024-09-11,2024-09-15
147151,poll_rcp_avg,Data for Progress (D)**,9/12 - 9/13,1283 LV,3.0,https://www.dataforprogress.org/blog/2024/9/13/post-debate-harris-leads-by-4-as-voters-see-her-as-more-honest-composed-and-intelligent-than-trump,Democrats,3.0,48,45,2024 Generic Congressional Vote,congress_generic,2024-09-12,2024-09-13
147255,poll_rcp_avg,Forbes/HarrisX,9/11 - 9/13,3018 RV,1.8,https://elections.harrisx.com/public/harrisx-permanent-political-debate-11-to-13.html,Democrats,2.0,43,41,2024 Generic Congressional Vote,congress_generic,2024-09-11,2024-09-13
147189,poll_rcp_avg,Yahoo News,9/11 - 9/13,1089 LV,0.0,https://www.scribd.com/document/769207834/Yahoo-News-YouGov-poll-9-14,Democrats,4.0,48,44,2024 Generic Congressional Vote,congress_generic,2024-09-11,2024-09-13
147106,poll,Economist/YouGov,9/8 - 9/10,1464 RV,3.1,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,Tie,0.0,45,45,2024 Generic Congressional Vote,congress_generic,2024-09-08,2024-09-10
147093,poll_rcp_avg,NPR/PBS/Marist,9/3 - 9/5,1413 RV,3.3,https://maristpoll.marist.edu/polls/the-u-s-presidential-contest-september-2024/,Democrats,1.0,46,45,2024 Generic Congressional Vote,congress_generic,2024-09-03,2024-09-05
147000,poll_rcp_avg,Emerson,9/3 - 9/4,1000 LV,2.9,https://emersoncollegepolling.com/september-2024-national-poll-harris-49-trump-47/,Democrats,4.0,48,44,2024 Generic Congressional Vote,congress_generic,2024-09-03,2024-09-04
146973,poll,Economist/YouGov,9/1 - 9/3,1389 RV,3.3,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HIwtch9.pdf,Democrats,1.0,46,45,2024 Generic Congressional Vote,congress_generic,2024-09-01,2024-09-03
146946,poll_rcp_avg,USA Today/Suffolk,8/25 - 8/28,1000 LV,0.0,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2024/9_3_2024_corrected_national_marginals_2.pdf?la=en&amp;hash=714D622BA5EF54D1FDB38B8F7D141797031F51E0,Democrats,5.0,48,43,2024 Generic Congressional Vote,congress_generic,2024-08-25,2024-08-28
146820,poll,Economist/YouGov,8/25 - 8/27,1368 RV,3.2,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EQQr3lh.pdf,Democrats,2.0,46,44,2024 Generic Congressional Vote,congress_generic,2024-08-25,2024-08-27
146879,poll_rcp_avg,Reuters/Ipsos,8/21 - 8/28,3562 RV,0.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-08/Reuters%20Ipsos%20Large%20Sample%204%20Topline%20August%2028%202024.pdf,Democrats,1.0,42,41,2024 Generic Congressional Vote,congress_generic,2024-08-21,2024-08-28
146809,poll,Yahoo News,8/22 - 8/26,1200 RV,0.0,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-a-huge-surge-in-democratic-optimism--but-no-big-bounce-for-harris--after-the-dnc-194934515.html,Democrats,3.0,45,42,2024 Generic Congressional Vote,congress_generic,2024-08-22,2024-08-26
146671,poll,Economist/YouGov,8/17 - 8/20,1371 RV,3.1,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Dgf6Oqh.pdf,Democrats,4.0,47,43,2024 Generic Congressional Vote,congress_generic,2024-08-17,2024-08-20
146693,poll_rcp_avg,Rasmussen Reports,8/15 - 8/19,1142 LV,3.0,https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_augs21,Republicans,5.0,43,48,2024 Generic Congressional Vote,congress_generic,2024-08-15,2024-08-19
146590,poll,Emerson,8/12 - 8/14,1000 RV,3.0,https://emersoncollegepolling.com/august-2024-national-poll-harris-50-trump-46/,Democrats,2.0,48,46,2024 Generic Congressional Vote,congress_generic,2024-08-12,2024-08-14
